county_fips,county_name,cases,population,cases_per_100k,cases_per_100k_double
0500000US30101,Toole County,"31.0","4736.0","654.5608108108108",654.56081
0500000US30103,Treasure County,"2.0","696.0","287.35632183908046",287.35632
0500000US30105,Valley County,"4.0","7396.0","54.08328826392645",54.08329
0500000US30107,Wheatland County,"2.0","2126.0","94.07337723424271",94.07338
0500000US30109,Wibaux County,"0.0","969.0","0",0.00000
0500000US30111,Yellowstone County,"437.0","161300.0","270.9237445753255",270.92374
0500000US31001,Adams County,"312.0","31363.0","994.8027931001498",994.80279
0500000US31003,Antelope County,"12.0","6298.0","190.53667831057479",190.53668
0500000US31005,Arthur County,"0.0","463.0","0",0.00000
0500000US31007,Banner County,"2.0","745.0","268.45637583892614",268.45638
0500000US31009,Blaine County,"0.0","465.0","0",0.00000
0500000US31011,Boone County,"7.0","5192.0","134.82280431432974",134.82280
0500000US31013,Box Butte County,"4.0","10783.0","37.09542798850042",37.09543
0500000US31015,Boyd County,"1.0","1919.0","52.11047420531526",52.11047
0500000US31017,Brown County,"0.0","2955.0","0",0.00000
0500000US31019,Buffalo County,"206.0","49659.0","414.82913469864474",414.82913
0500000US31021,Burt County,"14.0","6459.0","216.75181916705372",216.75182
0500000US31023,Butler County,"51.0","8016.0","636.2275449101796",636.22754
0500000US31025,Cass County,"84.0","26248.0","320.0243828101188",320.02438
0500000US31027,Cedar County,"19.0","8402.0","226.13663413472983",226.13663
0500000US31029,Chase County,"1.0","3924.0","25.484199796126404",25.48420
0500000US31031,Cherry County,"3.0","5689.0","52.73334505185445",52.73335
0500000US31033,Cheyenne County,"20.0","8910.0","224.46689113355782",224.46689
0500000US31035,Clay County,"29.0","6203.0","467.5157182008705",467.51572
0500000US31037,Colfax County,"678.0","10709.0","6331.123354188066",6331.12335
0500000US31039,Cuming County,"38.0","8846.0","429.5726882206647",429.57269
0500000US31041,Custer County,"40.0","10777.0","371.16080541894775",371.16081
0500000US31043,Dakota County,"1786.0","20026.0","8918.406072106261",8918.40607
0500000US31045,Dawes County,"4.0","8589.0","46.57119571544999",46.57120
0500000US31047,Dawson County,"870.0","23595.0","3687.2218690400505",3687.22187
0500000US31049,Deuel County,"0.0","1794.0","0",0.00000
0500000US31051,Dixon County,"52.0","5636.0","922.6401703335699",922.64017
0500000US31053,Dodge County,"709.0","36565.0","1939.012717079174",1939.01272
0500000US31055,Douglas County,"7954.0","571327.0","1392.197463099066",1392.19746
0500000US31057,Dundy County,"0.0","1693.0","0",0.00000
0500000US31059,Fillmore County,"18.0","5462.0","329.5496155254486",329.54962
0500000US31061,Franklin County,"8.0","2979.0","268.5464921114468",268.54649
0500000US31063,Frontier County,"2.0","2627.0","76.13247049866769",76.13247
0500000US31065,Furnas County,"10.0","4676.0","213.85799828913602",213.85800
0500000US31067,Gage County,"62.0","21513.0","288.19783386789385",288.19783
0500000US31069,Garden County,"4.0","1837.0","217.74632553075668",217.74633
0500000US31071,Garfield County,"2.0","1969.0","101.5744032503809",101.57440
